[Sat May 30 21:26:50 2015] [notice] Apache/2.2.21 (Win32) PHP/5.3.9 configured -- resuming normal operations
[Sat May 30 21:26:50 2015] [notice] Server built: Sep 10 2011 11:34:11
[Sat May 30 21:26:50 2015] [notice] Parent: Created child process 7804
[Sat May 30 21:26:51 2015] [notice] Child 7804: Child process is running
[Sat May 30 21:26:51 2015] [notice] Child 7804: Acquired the start mutex.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting 64 worker threads.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting thread to listen on port 8080.
[Sat May 30 21:26:51 2015] [notice] Child 7804: Starting thread to listen on port 8080.
[Sat May 30 21:27:11 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sat May 30 21:27:11 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sat May 30 21:27:37 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sat May 30 21:27:37 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sat May 30 21:28:23 2015] [error] [client ::1] File does not exist: F:/8.5/root/wp-content/themes/mokka/admin/assets/images/button_check.png, referer: http://localhost:8080/wp-content/themes/mokka/admin/assets/css/admin-style.css?ver=4.2.2
[Sun May 31 00:34:12 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 00:34:12 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 00:34:23 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 00:34:23 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 14:45:36 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:45:36 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:45:36 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:45:36 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:03 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:03 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:03 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:03 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:04 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:04 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:04 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:47:28 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:18 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:18 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:18 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:18 2015] [error] [client ::1] File does not exist: F:/8.5/root/6, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 14:50:39 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 14:50:46 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 14:50:46 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=eventoverview
[Sun May 31 14:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projects
[Sun May 31 14:50:54 2015] [error] [client ::1] File does not exist: F:/8.5/root/js, referer: http://localhost:8080/?page=projects
[Sun May 31 14:50:59 2015] [error] [client ::1] File does not exist: F:/8.5/root/css, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:59 2015] [error] [client ::1] File does not exist: F:/8.5/root/img, referer: http://localhost:8080/?page=projectdetail&id=1
[Sun May 31 14:50:59 2015] [error] [client ::1] File does not exist: F:/8.5/root/3, referer: http://localhost:8080/?page=projectdetail&id=1
